Simbolo	Ocurrencias	Frecuencia
a	92842972	0.124154
b	9734487	0.0130175
c	33924659	0.0453658
d	37515849	0.0501682
e	99031274	0.13243
f	5777240	0.00772563
g	8485636	0.0113474
h	5824560	0.00778891
i	51868126	0.0693608
j	3280932	0.00438743
k	334318	0.000447068
l	42394709	0.0566924
m	20807227	0.0278245
n	52495404	0.0701996
ñ	1368258	0.00182971
o	68792696	0.0919932
p	19961448	0.0266935
q	6841804	0.00914922
r	49220183	0.0658198
s	55411623	0.0740993
t	33438334	0.0447155
u	30148477	0.0403161
v	7357984	0.00983948
w	175066	0.000234107
x	1335912	0.00178645
y	6453372	0.00862979
z	2979400	0.00398421
Digrama	Ocurrencias	Frecuencia
aa	17149	2.88133e-05
ab	2981133	0.00500882
ac	4504049	0.00756758
ad	6703784	0.0112635
ae	159342	0.000267722
af	371592	0.000624339
ag	850965	0.00142977
ah	226987	0.000381377
ai	440054	0.000739367
aj	659281	0.00110771
ak	29234	4.91182e-05
al	7239095	0.0121629
am	2927066	0.00491798
an	8464042	0.014221
añ	815586	0.00137033
ao	46125	7.7498e-05
ap	1023772	0.00172011
aq	288998	0.000485566
ar	9563847	0.0160689
as	9896813	0.0166284
at	2133089	0.00358396
au	772044	0.00129717
av	552573	0.000928418
aw	8235	1.38362e-05
ax	60752	0.000102074
ay	701195	0.00117813
az	506880	0.000851646
ba	2367309	0.00397749
bb	8890	1.49367e-05
bc	12584	2.11433e-05
bd	12798	2.15028e-05
be	1013542	0.00170293
bf	578	9.7114e-07
bg	1066	1.79106e-06
bh	1082	1.81795e-06
bi	1860496	0.00312595
bj	80376	0.000135046
bk	244	4.09962e-07
bl	1231079	0.00206842
bm	5194	8.72682e-06
bn	3429	5.76131e-06
bñ	1	1.68017e-09
bo	696541	0.00117031
bp	1865	3.13352e-06
bq	23	3.8644e-08
br	1631419	0.00274107
bs	152772	0.000256683
bt	50976	8.56485e-05
bu	509174	0.0008555
bv	16329	2.74355e-05
bw	373	6.26704e-07
bx	101	1.69697e-07
by	10738	1.80417e-05
bz	194	3.25953e-07
ca	5912712	0.00993438
cb	2105	3.53676e-06
cc	495961	0.0008333
cd	15419	2.59066e-05
ce	2803105	0.0047097
cf	2948	4.95315e-06
cg	2900	4.8725e-06
ch	1487775	0.00249972
ci	8460173	0.0142145
cj	298	5.00691e-07
ck	41869	7.03471e-05
cl	615734	0.00103454
cm	7151	1.20149e-05
cn	86431	0.000145219
cñ	4	6.72069e-09
co	8678398	0.0145812
cp	2609	4.38357e-06
cq	4738	7.96066e-06
cr	916586	0.00154002
cs	8042	1.35119e-05
ct	1562648	0.00262552
cu	2657376	0.00446485
